home,score,away,year
Argentina,1–1,Chile,2021
Paraguay,3–1,Bolivia,2021
Chile,1–0,Bolivia,2021
Argentina,1–0,Uruguay,2021
Uruguay,1–1,Chile,2021
Argentina,1–0,Paraguay,2021
Bolivia,0–2,Uruguay,2021
Chile,Match 16,Paraguay,2021
Uruguay,Match 19,Paraguay,2021
Bolivia,Match 20,Argentina,2021
Brazil,3–0,Venezuela,2021
Colombia,1–0,Ecuador,2021
Colombia,0–0,Venezuela,2021
Brazil,4–0,Peru,2021
Venezuela,2–2,Ecuador,2021
Colombia,1–2,Peru,2021
Ecuador,2–2,Peru,2021
Brazil,2–1,Colombia,2021
Brazil,Match 17,Ecuador,2021
Venezuela,Match 18,Peru,2021
Runner-up Group B,Match 21,3rd Group A,2021
Brazil,Match 22,4th Group A,2021
Runner-up Group A,Match 23,3rd Group B,2021
Winner Group A,Match 24,4th Group B,2021
Winner Match 22,Match 25,Winner Match 21,2021
Winner Match 24,Match 26,Winner Match 23,2021
Loser Match 26,Match 27,Loser Match 25,2021
Winner Match 26,Match 28,Winner Match 25,2021
