HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Uruguay,Chile,1916,4,0,4
Argentina,Chile,1916,6,1,7
Brazil,Chile,1916,1,1,2
Argentina,Brazil,1916,1,1,2
Uruguay,Brazil,1916,2,1,3
Argentina,Uruguay,1916,0,1,1
Uruguay,Argentina,1917,1,0,1
Uruguay,Brazil,1917,4,0,4
Brazil,Chile,1917,5,0,5
Argentina,Brazil,1917,4,2,6
Uruguay,Chile,1917,4,0,4
Argentina,Chile,1917,1,0,1
Brazil,Chile,1919,6,0,6
Argentina,Uruguay,1919,2,3,5
Uruguay,Chile,1919,2,0,2
Brazil,Argentina,1919,3,1,4
Argentina,Chile,1919,4,1,5
Uruguay,Brazil,1919,2,2,4
Brazil,Uruguay,1919,1,0,1
Argentina,Brazil,1920,2,0,2
Uruguay,Chile,1920,2,1,3
Chile,Argentina,1920,1,1,2
Uruguay,Brazil,1920,6,0,6
Argentina,Uruguay,1920,1,1,2
Brazil,Chile,1920,1,0,1
Argentina,Brazil,1921,1,0,1
Paraguay,Uruguay,1921,2,1,3
Paraguay,Brazil,1921,0,3,3
Argentina,Paraguay,1921,3,0,3
Uruguay,Brazil,1921,2,1,3
Argentina,Uruguay,1921,1,0,1
Brazil,Paraguay,1922,3,0,3
Paraguay,Argentina,1922,0,2,2
Brazil,Argentina,1922,2,0,2
Uruguay,Paraguay,1922,0,1,1
Uruguay,Argentina,1922,1,0,1
Brazil,Paraguay,1922,1,1,2
Brazil,Uruguay,1922,0,0,0
Argentina,Chile,1922,4,0,4
Chile,Uruguay,1922,0,2,2
Brazil,Chile,1922,1,1,2
Paraguay,Chile,1922,3,0,3
Uruguay,Brazil,1923,2,1,3
Argentina,Brazil,1923,2,1,3
Uruguay,Argentina,1923,2,0,2
Uruguay,Paraguay,1923,2,0,2
Argentina,Paraguay,1923,4,3,7
Brazil,Paraguay,1923,0,1,1
Argentina,Paraguay,1924,0,0,0
Uruguay,Chile,1924,5,0,5
Argentina,Chile,1924,2,0,2
Uruguay,Paraguay,1924,3,1,4
Paraguay,Chile,1924,3,1,4
Uruguay,Argentina,1924,0,0,0
Brazil,Argentina,1925,2,2,4
Paraguay,Argentina,1925,1,3,4
Paraguay,Brazil,1925,1,3,4
Argentina,Paraguay,1925,2,0,2
Brazil,Paraguay,1925,5,2,7
Argentina,Brazil,1925,4,1,5
Uruguay,Bolivia,1926,6,0,6
Uruguay,Paraguay,1926,6,1,7
Chile,Argentina,1926,1,1,2
Argentina,Uruguay,1926,0,2,2
Chile,Paraguay,1926,5,1,6
Argentina,Paraguay,1926,8,0,8
Uruguay,Chile,1926,3,1,4
Argentina,Bolivia,1926,5,0,5
Chile,Bolivia,1926,7,1,8
Bolivia,Paraguay,1926,1,6,7
Argentina,Bolivia,1927,7,1,8
Uruguay,Peru,1927,4,0,4
Uruguay,Bolivia,1927,9,0,9
Peru,Bolivia,1927,3,2,5
Argentina,Uruguay,1927,3,2,5
Argentina,Peru,1927,5,1,6
Argentina,Uruguay,1929,2,0,2
Paraguay,Peru,1929,5,0,5
Peru,Uruguay,1929,1,4,5
Argentina,Peru,1929,3,0,3
Uruguay,Paraguay,1929,0,3,3
Argentina,Paraguay,1929,4,1,5
Argentina,Chile,1935,4,1,5
Uruguay,Peru,1935,1,0,1
Uruguay,Chile,1935,2,1,3
Argentina,Peru,1935,4,1,5
Peru,Chile,1935,1,0,1
Argentina,Uruguay,1935,0,3,3
Brazil,Uruguay,1937,3,2,5
Argentina,Brazil,1937,2,0,2
Argentina,Brazil,1937,1,0,1
Paraguay,Peru,1937,0,12,12
Argentina,Uruguay,1937,2,3,5
Peru,Chile,1937,2,2,4
Argentina,Peru,1937,1,0,1
Paraguay,Chile,1937,3,2,5
Uruguay,Chile,1937,0,3,3
Brazil,Paraguay,1937,5,0,5
Argentina,Paraguay,1937,6,1,7
Uruguay,Peru,1937,4,2,6
Brazil,Chile,1937,6,4,10
Paraguay,Uruguay,1937,4,2,6
Argentina,Chile,1937,2,1,3
Brazil,Peru,1937,3,2,5
