home,score,away,year
Venezuela ,0–4, Brazil,1975
Venezuela ,1–5, Argentina,1975
Brazil ,2–1, Argentina,1975
Argentina ,11–0, Venezuela,1975
Brazil ,6–0, Venezuela,1975
Argentina ,0–1, Brazil,1975
Chile ,1–1, Peru,1975
Bolivia ,2–1, Chile,1975
Bolivia ,0–1, Peru,1975
Peru ,3–1, Bolivia,1975
Chile ,4–0, Bolivia,1975
Peru ,3–1, Chile,1975
Colombia ,1–0, Paraguay,1975
Ecuador ,2–2, Paraguay,1975
Ecuador ,1–3, Colombia,1975
Paraguay ,0–1, Colombia,1975
Colombia ,2–0, Ecuador,1975
Paraguay ,3–1, Ecuador,1975
Colombia ,3–0, Uruguay,1975
Uruguay ,1–0, Colombia,1975
Brazil ,1–3, Peru,1975
Peru ,0–2, Brazil,1975
Colombia ,1–0, Peru,1975
Peru ,2–0, Colombia,1975
Peru ,1–0, Colombia,1975
Venezuela ,0–0, Colombia,1979
Venezuela ,1–1, Chile,1979
Colombia ,1–0, Chile,1979
Colombia ,4–0, Venezuela,1979
Chile ,7–0, Venezuela,1979
Chile ,2–0, Colombia,1979
Bolivia ,2–1, Argentina,1979
Bolivia ,2–1, Brazil,1979
Brazil ,2–1, Argentina,1979
Argentina ,3–0, Bolivia,1979
Brazil ,2–0, Bolivia,1979
Argentina ,2–2, Brazil,1979
Ecuador ,1–2, Paraguay,1979
Ecuador ,2–1, Uruguay,1979
Paraguay ,2–0, Ecuador,1979
Uruguay ,2–1, Ecuador,1979
Paraguay ,0–0, Uruguay,1979
Uruguay ,2–2, Paraguay,1979
Peru ,1–2, Chile,1979
Chile ,0–0, Peru,1979
Paraguay ,2–1, Brazil,1979
Brazil ,2–2, Paraguay,1979
Paraguay ,3–0, Chile,1979
Chile ,1–0, Paraguay,1979
Paraguay ,0–0 (a.e.t.), Chile,1979
Uruguay ,2–1, Chile,1983
Uruguay ,3–0, Venezuela,1983
Chile ,5–0, Venezuela,1983
Chile ,2–0, Uruguay,1983
Venezuela ,1–2, Uruguay,1983
Venezuela ,0–0, Chile,1983
Ecuador ,2–2, Argentina,1983
Ecuador ,0–1, Brazil,1983
Argentina ,1–0, Brazil,1983
Brazil ,5–0, Ecuador,1983
Argentina ,2–2, Ecuador,1983
Brazil ,0–0, Argentina,1983
Bolivia ,0–1, Colombia,1983
Peru ,1–0, Colombia,1983
Bolivia ,1–1, Peru,1983
Colombia ,2–2, Peru,1983
Colombia ,2–2, Bolivia,1983
Peru ,2–1, Bolivia,1983
Peru ,0–1, Uruguay,1983
