home,score,away,year
Uruguay ,4–0, Chile,1916
Argentina ,6–1, Chile,1916
Brazil ,1–1, Chile,1916
Argentina ,1–1, Brazil,1916
Uruguay ,2–1, Brazil,1916
Argentina ,0–0[1], Uruguay,1916
Uruguay ,4–0, Chile,1917
Argentina ,4–2, Brazil,1917
Argentina ,1–0, Chile,1917
Uruguay ,4–0, Brazil,1917
Brazil ,5–0, Chile,1917
Uruguay ,1–0, Argentina,1917
Brazil ,6–0, Chile,1919
Argentina ,2–3, Uruguay,1919
Uruguay ,2–0, Chile,1919
Brazil ,3–1, Argentina,1919
Argentina ,4–1, Chile,1919
Uruguay ,2–2, Brazil,1919
Brazil ,1–0 (a.e.t.), Uruguay,1919
Brazil ,1–0, Chile,1920
Argentina ,1–1, Uruguay,1920
Uruguay ,6–0, Brazil,1920
Chile ,1–1, Argentina,1920
Argentina ,2–0, Brazil,1920
Uruguay ,2–1, Chile,1920
Argentina ,1–0, Brazil,1921
Paraguay ,2–1, Uruguay,1921
Paraguay ,0–3, Brazil,1921
Argentina ,3–0, Paraguay,1921
Uruguay ,2–1, Brazil,1921
Argentina ,1–0, Uruguay,1921
Brazil ,1–1, Chile,1922
Chile ,0–2, Uruguay,1922
Brazil ,1–1, Paraguay,1922
Argentina ,4–0, Chile,1922
Brazil ,0–0, Uruguay,1922
Paraguay ,3–0, Chile,1922
Uruguay ,1–0, Argentina,1922
Uruguay ,0–1, Paraguay,1922
Brazil ,2–0, Argentina,1922
Paraguay ,0–2, Argentina,1922
Brazil ,3–0, Paraguay,1922
Argentina ,4–3, Paraguay,1923
Uruguay ,2–0, Paraguay,1923
Brazil ,0–1, Paraguay,1923
Argentina ,2–1, Brazil,1923
Uruguay ,2–1, Brazil,1923
Uruguay ,2–0, Argentina,1923
Argentina ,0–0, Paraguay,1924
Uruguay ,5–0, Chile,1924
Argentina ,2–0, Chile,1924
Uruguay ,3–1, Paraguay,1924
Paraguay ,3–1, Chile,1924
Uruguay ,0–0, Argentina,1924
Argentina ,2–0, Paraguay,1925
Brazil ,5–2, Paraguay,1925
Argentina ,4–1, Brazil,1925
Paraguay ,1–3, Brazil,1925
Paraguay ,1–3, Argentina,1925
Brazil ,2–2, Argentina,1925
Chile ,7–1, Bolivia,1926
Argentina ,5–0, Bolivia,1926
Uruguay ,3–1, Chile,1926
Argentina ,8–0, Paraguay,1926
Bolivia ,1–6, Paraguay,1926
